Date,Global Equity Growth,Global Equity Value,Small Cap Opportunities,International Equity,Market Neutral,Absolute Return,Private Credit,Core Bonds
2019-01-31,0.085902,0.070493,0.127708,0.084288,-0.002342,0.047695,0.017015,0.012494
2019-02-28,0.022025,0.036215,0.043704,0.011971,0.005091,0.005534,0.007006,-0.016226
2019-03-31,0.023953,0.010351,-0.041446,0.013201,0.014831,0.025169,0.020954,0.024949
2019-04-30,0.040631,0.024116,0.074255,0.021581,0.0107,0.030197,0.014431,0.002495
2019-05-31,-0.044248,-0.04471,-0.097099,-0.064171,0.002955,-0.010743,-0.005872,0.0273
2019-06-30,0.05036,0.093395,0.053533,0.068513,0.034625,0.0423,0.011234,0.023674
2019-07-31,-0.000631,0.01479,-0.04001,-0.025193,-0.006234,0.011325,0.005011,0.007961
2019-08-31,-0.007647,-0.017663,-0.036696,-0.016908,-0.011116,0.021596,0.020621,0.068873
2019-09-30,0.002689,0.031673,0.058978,0.025895,0.019042,0.01046,0.021075,-0.01444
2019-10-31,0.068106,0.012781,0.044267,0.057588,-0.001079,0.013267,0.007714,0.002883
2019-11-30,0.041323,0.031255,0.057107,0.008133,-0.00319,0.012467,0.01747,0.007476
2019-12-31,0.021806,0.01029,0.033015,0.031957,0.006896,-0.00107,0.017883,-0.004455
2020-01-31,-0.019424,-0.024311,-0.025825,-0.044215,-0.009721,0.007316,0.020536,0.039101
2020-02-29,-0.066884,-0.087945,-0.101836,-0.082268,-0.001959,-0.015941,-0.005177,0.035894
2020-03-31,-0.11768,-0.137735,-0.205136,-0.142951,-0.012805,-0.050899,-0.03966,-0.01981
2020-04-30,0.149257,0.118849,0.125997,0.066631,-0.011977,0.053754,0.018789,0.030934
2020-05-31,0.063427,0.020765,0.078704,0.06605,0.002773,0.019694,0.018302,0.008339
2020-06-30,0.043156,0.008832,0.046354,0.046568,-0.010011,0.006483,0.011341,0.020039
2020-07-31,0.094173,0.066271,0.012102,0.042443,-0.012815,0.036175,0.026783,0.033799
2020-08-31,0.114059,0.059888,0.050535,0.047362,-0.003886,0.018988,0.017965,-0.02914
2020-09-30,-0.028366,-0.035595,-0.042302,-0.025181,0.004379,-0.014768,0.000266,-0.004902
2020-10-31,-0.031729,-0.034574,0.018597,-0.025242,0.029295,0.00635,-0.009783,-0.023435
2020-11-30,0.09666,0.118624,0.144547,0.156106,0.012135,0.028914,0.020055,0.03435
2020-12-31,0.057406,0.034587,0.096152,0.045781,-0.001363,0.021757,0.018073,-0.001338
2021-01-31,0.001141,-0.021533,0.031558,-0.015494,-0.00492,0.004551,0.009543,-0.023804
2021-02-28,0.000778,0.056482,0.063834,0.009501,0.028001,-0.007313,-0.000824,-0.019908
2021-03-31,0.02523,0.050725,0.046142,-0.008721,0.003465,0.017953,0.005623,-0.026554
2021-04-30,0.050884,0.056378,0.048273,0.006802,-0.008143,0.031498,0.015906,0.020047
2021-05-31,-0.016809,0.017775,0.046518,0.045611,0.013058,0.010698,-0.000282,0.006987
2021-06-30,0.052195,-0.00208,0.025495,-0.021932,-0.027705,0.006654,0.018966,0.03259
2021-07-31,0.015038,0.011217,-0.032477,-0.002205,0.011267,0.010005,0.018298,0.02005
2021-08-31,0.024408,0.033841,-0.000722,0.025765,-0.010967,0.006372,0.007638,0.005975
2021-09-30,-0.061456,-0.046786,-0.03142,-0.030094,-0.001643,-0.017912,-0.001527,-0.015536
2021-10-31,0.074414,0.062871,0.063482,0.010597,0.003503,-0.047651,0.006254,0.005376
2021-11-30,-0.006662,-0.01226,-0.025415,-0.046506,-0.01236,-0.006465,-0.008143,0.01756
2021-12-31,0.033105,0.037174,0.053531,0.038012,0.032437,0.027837,0.001857,-0.007173
2022-01-31,-0.092978,-0.036775,-0.129942,-0.037003,0.023232,-0.030202,-0.023218,-0.032142
2022-02-28,-0.028433,-0.021766,0.036704,-0.017714,0.015363,-0.005922,-0.015585,-0.013047
2022-03-31,0.041828,0.040534,0.061065,-0.00873,0.004594,0.025306,-0.009077,-0.036153
2022-04-30,-0.089023,-0.056171,-0.12975,-0.071253,0.010074,-0.023586,-0.033091,-0.064139
2022-05-31,0.00278,-0.00731,0.01088,0.025185,0.022721,-0.004676,0.0001,-0.005204
2022-06-30,-0.077047,-0.079713,-0.064168,-0.111101,0.001517,-0.043987,-0.028723,-0.026726
2022-07-31,0.09163,0.086144,0.117674,0.044051,0.00372,0.033911,0.014987,0.031111
2022-08-31,-0.053969,-0.016461,-0.040672,-0.055949,0.005622,-0.011835,-0.013753,-0.047458
2022-09-30,-0.099642,-0.078025,-0.117735,-0.103917,-0.010182,-0.028026,-0.031859,-0.054554
2022-10-31,0.056828,0.100834,0.119419,0.015669,0.028762,0.037398,-0.005812,-0.023339
2022-11-30,0.061008,0.061766,0.03808,0.148222,0.021004,0.048406,0.02955,0.065647
2022-12-31,-0.07935,-0.053867,-0.061076,-0.024307,-0.005742,-0.053994,-0.000853,-0.008114
2023-01-31,0.098614,0.050242,0.086892,0.085662,-0.006075,0.022998,0.019066,0.06854
2023-02-28,-0.040887,-0.031744,-0.027169,-0.034453,-0.00077,-0.011267,-0.009558,-0.039268
2023-03-31,0.061502,0.006819,-0.003108,0.03305,-0.019966,0.027295,0.01128,0.039793
2023-04-30,0.002048,0.022793,-0.027913,0.023237,0.009392,0.017984,0.007349,0.00241
2023-05-31,0.0473,-0.024859,0.012454,-0.034965,-0.023644,-0.002519,-0.00297,-0.023206
2023-06-30,0.073296,0.06516,0.08399,0.063231,0.013224,0.018966,0.022724,0.006051
2023-07-31,0.024843,0.029509,0.046305,0.042513,0.009979,0.007093,0.012181,-0.012361
2023-08-31,-0.012545,-0.031747,-0.030529,-0.043825,0.00855,0.023392,-0.002737,-0.012657
2023-09-30,-0.054732,-0.041404,-0.103163,-0.048938,-0.006356,-0.032872,-0.020832,-0.039864
2023-10-31,-0.017972,-0.009791,-0.06834,-0.055605,0.011704,0.001751,-0.011479,-0.032785
2023-11-30,0.121137,0.089574,0.094261,0.099822,-0.0053,0.031283,0.032296,0.060137
2023-12-31,0.045553,0.059423,0.140609,0.05164,0.021301,0.018691,0.034415,0.059825
2024-01-31,0.043915,0.017463,-0.028164,-0.026191,-0.01497,-0.014689,0.0124,-0.010525
2024-02-29,0.052788,0.038733,0.04009,0.04259,-0.021025,0.005415,0.015771,-0.017593
2024-03-31,0.000467,0.03583,0.03031,0.031644,8.4e-05,0.024478,0.014556,0.002418
2024-04-30,-0.028433,-0.03651,-0.069844,-0.028968,-0.002897,-0.007303,-0.015571,-0.047502
2024-05-31,0.052701,0.056466,0.048619,0.024995,-0.004167,0.030467,0.01064,0.026063
2024-06-30,0.05804,0.018181,0.009376,-0.015376,-0.010562,0.032353,0.006332,0.011097
2024-07-31,-0.026678,0.024826,0.083755,0.030549,0.040571,0.018606,0.018972,0.028462
2024-08-31,0.034635,0.018392,-0.020954,0.024657,-0.009775,0.011512,0.024663,0.025384
2024-09-30,0.036624,0.027631,0.023654,0.016475,-0.011616,0.025078,0.022114,0.01533
2024-10-31,-0.006885,0.010333,-0.051392,-0.051639,0.003494,-0.006474,-0.002472,-0.043897
2024-11-30,0.058797,0.059707,0.132933,-0.005195,0.007071,0.023046,0.013431,0.015872
2024-12-31,-0.036147,-0.026956,-0.06009,-0.004807,-0.02525,-0.036887,-0.002834,-0.047976
2025-01-31,0.028799,0.064617,0.021748,0.053503,0.023924,0.022353,0.009289,0.003618
2025-02-28,-0.029524,-0.022694,-0.056919,0.045438,0.003219,-0.011545,0.010307,0.040441
2025-03-31,-0.079052,-0.047975,-0.064802,-0.003522,0.006831,-0.007566,0.000385,-0.006321
2025-04-30,0.01742,-0.024026,-0.032089,0.049665,-0.008346,0.027247,0.003725,-0.00874
2025-05-31,0.091394,0.05578,0.076494,0.066771,-0.004631,0.029234,0.006542,0.005439
2025-06-30,0.062662,0.039866,0.072675,0.029769,-0.015483,0.012867,0.021235,0.016841
2025-07-31,0.038138,0.013976,-0.006634,-0.029584,-0.009285,0.028265,0.008494,-0.003201
2025-08-31,-0.000143,0.032241,0.05338,0.053634,0.00506,0.021231,0.016582,0.006446
2025-09-30,0.067898,0.029584,0.036237,0.021046,-0.01144,0.022378,0.026485,0.02126
2025-10-31,0.04985,0.01139,0.052078,0.036227,-0.018603,0.017425,0.018455,0.00095
2025-11-30,0.013542,0.024355,0.020503,-0.008258,0.018533,0.016457,0.017678,0.013571
2025-12-31,0.003842,0.001168,0.023414,0.030629,0.001343,-0.007546,0.001861,-0.017502
2026-01-31,-0.012156,0.021695,0.054718,0.048333,0.022059,0.043125,0.011765,0.006985
2026-02-28,-0.027212,0.006969,0.030617,0.067765,0.019761,0.019658,0.007032,0.035641
2026-03-31,-0.047169,-0.055006,-0.064513,-0.085744,0.002429,-0.023759,-0.006662,-0.025874
2026-04-30,0.114531,0.093401,0.13579,0.085344,0.002837,0.03231,0.014002,-0.003465
2026-05-31,0.071399,0.041617,0.101437,0.034591,-0.00325,0.014278,0.021032,0.009478
2026-06-30,-0.033377,0.006225,0.006045,0.013749,0.028273,-0.002626,0.008021,0.004793
2026-07-31,-0.023476,0.020475,-0.051803,8.9e-05,0.031892,0.006675,0.009501,-0.025678
2026-08-31,0.034354,0.017226,0.012633,0.03695,-0.008532,0.015214,0.010924,0.008489
